w,Vpeak,t_peak,clearance_pct,eff_mean_late,V_relwidth_end,V_relwidth_max
0.0,9091774.743001016,2.25,0.09171867535173411,9.690909090909088,16.07023281864383,16.07023281864383
0.25,9091774.743001016,2.25,0.0944748686268412,8.280791952783407,13.845276037573623,13.845276037573623
0.5,9091774.743001016,2.25,0.09731367034750614,6.8706748203804215,11.620099268924724,11.620099268924724
0.75,9091774.743001016,2.25,0.10023800303601359,5.4605576933777575,9.394933566740983,9.394933566740983
1.0,9091774.743001016,2.25,0.10325062234430976,4.050440571465505,7.16914562624201,7.16914562624201
